"period_start","wait_time","treat","commute","trips_pool","trips_express","rider_cancellations","total_driver_payout","total_matches","total_double_matches"
"2/21/2018 23:00","2 mins","","","1248","2561","165","27110.774431415","2213","1329"
"2/22/2018 1:40","5 mins","1","","1304","2121","157","22830.550069828","2188","728"
"2/22/2018 4:20","2 mins","","","1268","2198","118","24991.392697712","2015","1099"
"2/22/2018 7:00","5 mins","1","1","1498","2377","275","28585.283089325","2656","1442"
"2/22/2018 9:40","2 mins","","","1519","2060","145","25858.748632111","2117","836"
"2/22/2018 12:20","5 mins","1","","1744","2276","172","27385.132567237","2171","1481"
"2/22/2018 15:00","2 mins","","1","1502","4507","350","48600.42196402","5005","2533"
"2/22/2018 17:40","5 mins","1","","1555","2229","156","24975.699635813","2085","1488"
"2/22/2018 20:20","2 mins","","","1620","2243","160","28000.423030176","2154","959"
"2/22/2018 23:00","5 mins","1","","1021","2540","183","25506.896679234","2362","1276"
"2/23/2018 1:40","2 mins","","","987","2015","129","23769.410762705","1935","742"
"2/23/2018 4:20","5 mins","1","","1324","2054","147","21882.918958137","2148","1141"
"2/23/2018 7:00","2 mins","","1","1178","3591","228","34077.770112606","3816","1619"
"2/23/2018 9:40","5 mins","1","","1253","2479","175","26375.099387108","2592","1555"
"2/23/2018 12:20","2 mins","","","1640","2664","183","34025.031028693","2597","1348"
"2/23/2018 15:00","5 mins","1","1","1177","3946","333","37418.68796113","4203","2739"
"2/23/2018 17:40","2 mins","","","1364","2397","175","24965.472983964","2433","981"
"2/23/2018 20:20","5 mins","1","","1635","1988","162","28523.283169595","1745","1389"
"2/23/2018 23:00","2 mins","","","1371","2467","140","30717.884328668","2740","1132"
"2/24/2018 1:40","5 mins","1","","1346","2296","174","23742.415076588","2279","1065"
"2/24/2018 4:20","2 mins","","","771","2515","95","23565.362793069","2616","1352"
"2/24/2018 7:00","5 mins","1","","1283","2141","161","20430.220640401","2238","996"
"2/24/2018 9:40","2 mins","","","1273","2620","165","29641.435038199","2612","1104"
"2/24/2018 12:20","5 mins","1","","1598","2565","183","32106.153627651","2472","1338"
"2/24/2018 15:00","2 mins","","","1409","2434","132","25026.817976912","2571","1257"
"2/24/2018 17:40","5 mins","1","","1593","2582","180","27320.548577995","2365","1291"
"2/24/2018 20:20","2 mins","","","1201","2666","185","26725.517813944","2971","1541"
"2/24/2018 23:00","5 mins","1","","930","2437","139","21754.245373791","2352","1185"
"2/25/2018 1:40","2 mins","","","1064","2500","101","22153.188781729","2735","1288"
"2/25/2018 4:20","5 mins","1","","1005","2140","154","22076.635244372","2299","1250"
"2/25/2018 7:00","2 mins","","","1745","2496","159","28170.199868698","2510","1022"
"2/25/2018 9:40","5 mins","1","","1514","3062","194","31142.505978649","3120","1662"
"2/25/2018 12:20","2 mins","","","1259","2457","126","28525.792469143","2304","1106"
"2/25/2018 15:00","5 mins","1","","1587","1914","157","23986.5572016","1924","1300"
"2/25/2018 17:40","2 mins","","","1311","2736","176","31276.060045437","2905","1683"
"2/25/2018 20:20","5 mins","1","","1422","2244","154","25226.175124733","2222","1114"
"2/25/2018 23:00","2 mins","","","1259","3292","168","31725.502884796","3209","1857"
"2/26/2018 1:40","5 mins","1","","1435","1996","173","24969.840444954","1871","1157"
"2/26/2018 4:20","2 mins","","","1401","2371","146","26992.54936422","2365","814"
"2/26/2018 7:00","5 mins","1","1","1739","2762","289","38010.245584799","3112","1391"
"2/26/2018 9:40","2 mins","","","1251","2234","128","25681.258923863","2167","1198"
"2/26/2018 12:20","5 mins","1","","1414","2515","194","28686.207789944","2457","1482"
"2/26/2018 15:00","2 mins","","1","1474","2905","197","33547.232002227","2810","1049"
"2/26/2018 17:40","5 mins","1","","1499","2928","218","23572.378408555","2972","1814"
"2/26/2018 20:20","2 mins","","","1548","2225","166","25184.896161769","2422","1236"
"2/26/2018 23:00","5 mins","1","","1923","2525","190","29670.234770453","2747","1417"
"2/27/2018 1:40","2 mins","","","1005","2608","160","26605.249840146","2727","1177"
"2/27/2018 4:20","5 mins","1","","1412","1867","164","19163.205133831","1588","1420"
"2/27/2018 7:00","2 mins","","1","1473","3800","279","41714.536377996","4060","2034"
"2/27/2018 9:40","5 mins","1","","1364","2055","188","22526.408053805","2083","1196"
"2/27/2018 12:20","2 mins","","","1121","2280","103","23695.539978495","2232","949"
"2/27/2018 15:00","5 mins","1","1","1249","3638","289","32674.144604353","3842","1686"
"2/27/2018 17:40","2 mins","","","990","2668","121","24063.367069527","2541","1055"
"2/27/2018 20:20","5 mins","1","","1473","2243","170","25668.426358506","2306","1229"
"2/27/2018 23:00","2 mins","","","1674","1932","173","27881.7020576","1885","1211"
"2/28/2018 1:40","5 mins","1","","829","2419","173","18769.992988615","2183","1657"
"2/28/2018 4:20","2 mins","","","1053","2273","141","22713.798573244","2224","1397"
"2/28/2018 7:00","5 mins","1","1","1385","3043","307","34278.220006248","3439","1985"
"2/28/2018 9:40","2 mins","","","1481","2742","166","30141.758313204","2686","1321"
"2/28/2018 12:20","5 mins","1","","1174","2137","157","26216.063689748","2201","1032"
"2/28/2018 15:00","2 mins","","1","1716","3851","289","44887.994186008","4229","2001"
"2/28/2018 17:40","5 mins","1","","1419","2534","163","28329.326044971","2495","988"
"2/28/2018 20:20","2 mins","","","1529","2604","159","30528.600628167","2545","1237"
"2/28/2018 23:00","5 mins","1","","1557","1915","154","24718.482517499","1806","1419"
"3/1/2018 1:40","2 mins","","","1075","2500","168","24732.105451519","2606","1274"
"3/1/2018 4:20","5 mins","1","","1099","2517","144","25928.743592512","2327","1637"
"3/1/2018 7:00","2 mins","","1","1482","3217","185","38605.55350581","3404","1864"
"3/1/2018 9:40","5 mins","1","","1875","2361","207","31795.244092465","2269","1227"
"3/1/2018 12:20","2 mins","","","1377","2953","156","30318.059778187","2561","1854"
"3/1/2018 15:00","5 mins","1","1","1742","3349","320","34639.932997973","3240","1858"
"3/1/2018 17:40","2 mins","","","1957","2524","200","32913.806684853","2689","1044"
"3/1/2018 20:20","5 mins","1","","1492","2437","162","27966.579765198","2367","1429"
"3/1/2018 23:00","2 mins","","","1202","1949","121","25286.399016237","2050","735"
"3/2/2018 1:40","5 mins","1","","1292","1961","171","20078.312035755","2174","1284"
"3/2/2018 4:20","2 mins","","","1270","1845","133","23459.2695533","2028","1000"
"3/2/2018 7:00","5 mins","1","1","1069","3212","290","32340.823414994","3477","1701"
"3/2/2018 9:40","2 mins","","","1293","2235","139","28041.728437752","2288","1031"
"3/2/2018 12:20","5 mins","1","","1782","2090","152","26964.734310859","2021","1420"
"3/2/2018 15:00","2 mins","","1","1389","3400","204","34568.798971752","3845","1589"
"3/2/2018 17:40","5 mins","1","","1425","2459","170","24389.907305902","2513","1233"
"3/2/2018 20:20","2 mins","","","1390","2091","174","25019.771638758","1928","1119"
"3/2/2018 23:00","5 mins","1","","2241","2031","197","29304.253273606","1962","1133"
"3/3/2018 1:40","2 mins","","","1414","2287","151","31954.647328725","2003","1315"
"3/3/2018 4:20","5 mins","1","","1355","2501","180","31204.875344568","2432","1405"
"3/3/2018 7:00","2 mins","","","1348","2471","145","28158.738222246","2075","1464"
"3/3/2018 9:40","5 mins","1","","1710","2732","169","28075.728211819","2921","1698"
"3/3/2018 12:20","2 mins","","","1165","2453","193","23013.784017561","2361","820"
"3/3/2018 15:00","5 mins","1","","1630","2081","159","26807.736675049","1980","978"
"3/3/2018 17:40","2 mins","","","1302","3110","170","29810.326957599","3080","1838"
"3/3/2018 20:20","5 mins","1","","1324","2158","125","27884.232533823","2208","1373"
"3/3/2018 23:00","2 mins","","","1103","2403","136","23997.490408682","2498","1032"
"3/4/2018 1:40","5 mins","1","","1087","2225","145","22757.181729473","2267","1055"
"3/4/2018 4:20","2 mins","","","1156","2254","132","31600.013141044","2177","1304"
"3/4/2018 7:00","5 mins","1","","1515","2059","129","22995.159002092","1828","1063"
"3/4/2018 9:40","2 mins","","","1151","2793","193","29426.909594189","2732","1752"
"3/4/2018 12:20","5 mins","1","","1818","1970","204","24339.583560799","1974","1510"
"3/4/2018 15:00","2 mins","","","1393","2301","161","28015.257605576","2179","882"
"3/4/2018 17:40","5 mins","1","","1718","2655","173","28288.521150903","2600","1361"
"3/4/2018 20:20","2 mins","","","1303","2334","158","27072.606354438","2164","940"
"3/4/2018 23:00","5 mins","1","","1157","2359","154","23525.115951684","2323","1473"
"3/5/2018 1:40","2 mins","","","1170","2240","131","23005.27027051","2257","900"
"3/5/2018 4:20","5 mins","1","","1360","2421","196","26017.526022086","2361","1015"
